Ahal_ID	PSnum	PSname	PScontinuity
g00125	10	Magnoliopsida	1
g00126	18	Brassicaceae	1
g00127	17	Brassicales	1
g00128	3	Viridiplantae	0.857142857142857
g00129	15	rosids	1
g00130	18	Brassicaceae	1
g00131	3	Viridiplantae	1
g00132	6	Embryophyta	1
g00133	18	Brassicaceae	1
g00134	15	rosids	1
g00135	10	Magnoliopsida	0.875
g00136	3	Viridiplantae	0.785714285714286
g00137	17	Brassicales	1
g00138	9	Spermatophyta	1
g00139	5	Streptophytina	1
g00140	9	Spermatophyta	1
g00141	5	Streptophytina	1
g00142	20	Arabidopsis	1
g00144	17	Brassicales	1
g00145	3	Viridiplantae	0.857142857142857
g00146	9	Spermatophyta	1
g00147	5	Streptophytina	1
g00148	18	Brassicaceae	1
g00149	10	Magnoliopsida	0.875
g00150	17	Brassicales	1
g00151	6	Embryophyta	0.833333333333333
g00152	10	Magnoliopsida	1
g00153	3	Viridiplantae	1
g00154	3	Viridiplantae	1
g00155	6	Embryophyta	1
g00156	17	Brassicales	1
g00158	6	Embryophyta	0.833333333333333
g00159	18	Brassicaceae	1
g00160	15	rosids	0.6
g00161	15	rosids	1
g00163	10	Magnoliopsida	1
g00164	2	Eukaryota	1
g00165	6	Embryophyta	0.916666666666667
g00166	2	Eukaryota	1
g00167	6	Embryophyta	0.833333333333333
g00168	17	Brassicales	1
g00169	11	Mesangiospermae	0.857142857142857
g00170	10	Magnoliopsida	1
g00171	6	Embryophyta	1
g00172	18	Brassicaceae	0.666666666666667
g00173	15	rosids	1
g00174	18	Brassicaceae	1
g00176	6	Embryophyta	0.916666666666667
g00178	6	Embryophyta	1
g00179	6	Embryophyta	0.916666666666667
g00180	6	Embryophyta	0.916666666666667
g00181	9	Spermatophyta	1
g00182	11	Mesangiospermae	1
g00183	6	Embryophyta	1
g00184	6	Embryophyta	0.916666666666667
g00185	11	Mesangiospermae	1
g00187	11	Mesangiospermae	1
g00188	18	Brassicaceae	1
g00189	18	Brassicaceae	1
g00190	5	Streptophytina	1
g00191	6	Embryophyta	0.75
g00192	9	Spermatophyta	1
g00193	10	Magnoliopsida	1
g00194	17	Brassicales	1
g00195	3	Viridiplantae	0.857142857142857
g00196	15	rosids	1
g00197	2	Eukaryota	1
g00198	22	Arabidopsis halleri subsp. gemmifera	1
g00200	6	Embryophyta	1
g00201	6	Embryophyta	1
g00202	18	Brassicaceae	1
g00203	10	Magnoliopsida	0.625
g00204	9	Spermatophyta	1
g00205	6	Embryophyta	1
g00206	5	Streptophytina	0.923076923076923
g00208	3	Viridiplantae	1
g00209	6	Embryophyta	0.916666666666667
g00211	5	Streptophytina	1
g00212	18	Brassicaceae	1
g00213	17	Brassicales	1
g00214	17	Brassicales	1
g00215	6	Embryophyta	0.833333333333333
g00216	6	Embryophyta	1
g00217	3	Viridiplantae	0.785714285714286
g00218	3	Viridiplantae	1
g00219	2	Eukaryota	1
g00220	11	Mesangiospermae	0.857142857142857
g00221	18	Brassicaceae	1
g00222	2	Eukaryota	1
g00224	5	Streptophytina	1
g00225	5	Streptophytina	0.923076923076923
g00226	1	cellular organisms	1
g00227	6	Embryophyta	1
g00228	18	Brassicaceae	1
g00229	18	Brassicaceae	0.666666666666667
g00230	6	Embryophyta	1
g00231	6	Embryophyta	1
g00232	7	Tracheophyta	0.909090909090909
g00233	10	Magnoliopsida	1
g00234	11	Mesangiospermae	1
g00235	10	Magnoliopsida	1
g00236	6	Embryophyta	0.666666666666667
g00237	10	Magnoliopsida	1
g00238	11	Mesangiospermae	1
g00239	9	Spermatophyta	1
g00240	17	Brassicales	1
g00242	10	Magnoliopsida	1
g00243	18	Brassicaceae	1
g00244	20	Arabidopsis	1
g00245	20	Arabidopsis	1
g00246	22	Arabidopsis halleri subsp. gemmifera	1
g00247	11	Mesangiospermae	0.857142857142857
g00248	11	Mesangiospermae	0.571428571428571
g00249	6	Embryophyta	0.833333333333333
g00251	1	cellular organisms	0.875
g00252	11	Mesangiospermae	1
g00253	2	Eukaryota	1
g00254	18	Brassicaceae	1
g00255	6	Embryophyta	0.916666666666667
g00256	6	Embryophyta	0.916666666666667
g00257	7	Tracheophyta	0.818181818181818
g00258	9	Spermatophyta	1
g00259	15	rosids	1
g00260	18	Brassicaceae	1
g00261	17	Brassicales	1
g00263	10	Magnoliopsida	1
g00264	17	Brassicales	1
g00265	9	Spermatophyta	1
g00266	5	Streptophytina	1
g00267	6	Embryophyta	0.916666666666667
g00268	6	Embryophyta	0.916666666666667
g00270	5	Streptophytina	1
g00271	18	Brassicaceae	1
g00272	18	Brassicaceae	1
g00273	10	Magnoliopsida	0.375
g00274	14	Pentapetalae	1
g00275	9	Spermatophyta	0.888888888888889
g00276	18	Brassicaceae	1
g00277	5	Streptophytina	1
g00278	18	Brassicaceae	1
g00279	18	Brassicaceae	1
g00280	6	Embryophyta	1
g00281	10	Magnoliopsida	1
g00282	18	Brassicaceae	1
g00283	6	Embryophyta	1
g00284	10	Magnoliopsida	1
g00285	18	Brassicaceae	1
g00286	18	Brassicaceae	1
g00287	15	rosids	1
g00288	2	Eukaryota	0.933333333333333
g00289	18	Brassicaceae	1
g00290	17	Brassicales	1
g00291	6	Embryophyta	1
g00292	5	Streptophytina	0.846153846153846
g00293	5	Streptophytina	1
g00296	18	Brassicaceae	1
g00297	10	Magnoliopsida	1
g00298	15	rosids	0.8
g00299	9	Spermatophyta	1
g00300	20	Arabidopsis	1
g00302	2	Eukaryota	0.866666666666667
g00303	2	Eukaryota	0.866666666666667
g00304	11	Mesangiospermae	0.857142857142857
g00305	9	Spermatophyta	1
g00306	6	Embryophyta	0.75
g00307	17	Brassicales	1
g00309	2	Eukaryota	0.933333333333333
g00310	18	Brassicaceae	1
g00311	11	Mesangiospermae	0.857142857142857
g00313	7	Tracheophyta	1
g00314	9	Spermatophyta	1
g00315	8	Euphyllophyta	0.7
g00316	15	rosids	1
g00317	17	Brassicales	1
g00318	9	Spermatophyta	1
g00319	8	Euphyllophyta	1
g00320	18	Brassicaceae	0.666666666666667
g00322	18	Brassicaceae	0.666666666666667
g00323	2	Eukaryota	1
g00324	10	Magnoliopsida	1
g00325	11	Mesangiospermae	1
g00326	1	cellular organisms	0.875
g00327	18	Brassicaceae	1
g00328	6	Embryophyta	1
g00329	2	Eukaryota	1
g00330	6	Embryophyta	0.916666666666667
g00331	20	Arabidopsis	1
g00333	3	Viridiplantae	1
g00334	17	Brassicales	1
g00335	6	Embryophyta	1
g00336	9	Spermatophyta	1
g00337	6	Embryophyta	0.583333333333333
g00338	18	Brassicaceae	1
g00339	14	Pentapetalae	1
g00340	17	Brassicales	1
g00341	17	Brassicales	1
g00342	20	Arabidopsis	1
g00343	17	Brassicales	1
g00344	22	Arabidopsis halleri subsp. gemmifera	1
g00345	20	Arabidopsis	1
g00346	18	Brassicaceae	1
g00347	17	Brassicales	1
g00348	18	Brassicaceae	1
g00349	2	Eukaryota	1
g00350	1	cellular organisms	0.5625
g00351	1	cellular organisms	0.9375
g00352	7	Tracheophyta	0.909090909090909
g00353	18	Brassicaceae	1
g00355	17	Brassicales	1
g00356	7	Tracheophyta	0.909090909090909
g00357	11	Mesangiospermae	0.857142857142857
g00358	17	Brassicales	1
g00359	17	Brassicales	1
g00360	15	rosids	1
g00361	17	Brassicales	1
g00362	15	rosids	0.8
g00363	17	Brassicales	1
g00364	18	Brassicaceae	1
g00365	20	Arabidopsis	1
g00366	10	Magnoliopsida	1
g00367	3	Viridiplantae	0.928571428571429
g00368	18	Brassicaceae	1
g00369	9	Spermatophyta	1
g00370	1	cellular organisms	0.9375
g00371	17	Brassicales	1
g00372	6	Embryophyta	1
g00373	6	Embryophyta	1
g00374	2	Eukaryota	1
g00375	11	Mesangiospermae	0.857142857142857
g00377	9	Spermatophyta	1
g00378	18	Brassicaceae	1
g00379	5	Streptophytina	0.923076923076923
g00380	6	Embryophyta	1
g00381	7	Tracheophyta	1
g00382	10	Magnoliopsida	0.625
g00383	3	Viridiplantae	1
g00384	7	Tracheophyta	0.909090909090909
g00385	9	Spermatophyta	1
g00386	15	rosids	1
g00387	18	Brassicaceae	0.666666666666667
g00388	2	Eukaryota	1
g00393	20	Arabidopsis	1
g00395	22	Arabidopsis halleri subsp. gemmifera	1
g00398	20	Arabidopsis	1
g00399	3	Viridiplantae	0.928571428571429
g00400	11	Mesangiospermae	0.857142857142857
g00401	6	Embryophyta	1
g00402	6	Embryophyta	0.916666666666667
g00403	17	Brassicales	1
g00405	20	Arabidopsis	1
g00407	20	Arabidopsis	1
g00408	6	Embryophyta	1
g00409	18	Brassicaceae	1
g00410	17	Brassicales	1
g00411	18	Brassicaceae	1
g00412	11	Mesangiospermae	1
g00415	18	Brassicaceae	1
g00416	18	Brassicaceae	1
g00417	18	Brassicaceae	1
g00418	6	Embryophyta	1
g00419	3	Viridiplantae	1
g00420	9	Spermatophyta	0.777777777777778
g00421	17	Brassicales	1
g00422	11	Mesangiospermae	1
g00423	14	Pentapetalae	1
g00425	10	Magnoliopsida	1
g00426	2	Eukaryota	0.933333333333333
g00427	10	Magnoliopsida	1
g00428	6	Embryophyta	1
g00429	9	Spermatophyta	1
g00430	6	Embryophyta	1
g00431	5	Streptophytina	1
g00432	7	Tracheophyta	0.818181818181818
g00433	6	Embryophyta	1
g00434	9	Spermatophyta	1
g00435	6	Embryophyta	1
g00436	5	Streptophytina	1
g00437	3	Viridiplantae	0.928571428571429
g00438	3	Viridiplantae	0.928571428571429
g00439	2	Eukaryota	1
g00440	22	Arabidopsis halleri subsp. gemmifera	1
g00441	6	Embryophyta	1
g00442	6	Embryophyta	1
g00443	3	Viridiplantae	0.928571428571429
g00444	11	Mesangiospermae	1
g00445	18	Brassicaceae	1
g00446	10	Magnoliopsida	1
g00447	18	Brassicaceae	1
g00449	10	Magnoliopsida	1
g00450	20	Arabidopsis	1
g00451	10	Magnoliopsida	1
g00452	22	Arabidopsis halleri subsp. gemmifera	1
g00453	18	Brassicaceae	1
g00454	5	Streptophytina	1
g00455	7	Tracheophyta	0.818181818181818
g00456	2	Eukaryota	1
g00457	6	Embryophyta	1
g00458	6	Embryophyta	1
g00459	18	Brassicaceae	1
g00460	2	Eukaryota	1
g00461	5	Streptophytina	1
g00462	3	Viridiplantae	0.928571428571429
g00463	3	Viridiplantae	0.928571428571429
g00464	3	Viridiplantae	0.928571428571429
g00465	18	Brassicaceae	1
g00466	2	Eukaryota	0.8
g00467	17	Brassicales	1
g00468	17	Brassicales	1
g00470	11	Mesangiospermae	1
g00471	3	Viridiplantae	0.928571428571429
g00472	17	Brassicales	1
g00473	3	Viridiplantae	1
g00474	18	Brassicaceae	1
g00475	11	Mesangiospermae	1
g00476	18	Brassicaceae	1
g00477	3	Viridiplantae	1
g00478	3	Viridiplantae	1
g00479	8	Euphyllophyta	0.9
g00480	6	Embryophyta	1
g00481	10	Magnoliopsida	1
g00482	2	Eukaryota	0.933333333333333
g00483	6	Embryophyta	1
g00484	3	Viridiplantae	1
g00485	15	rosids	1
g00486	17	Brassicales	1
g00487	6	Embryophyta	1
g00489	18	Brassicaceae	1
g00490	5	Streptophytina	0.846153846153846
g00491	17	Brassicales	1
g00493	18	Brassicaceae	1
g00494	17	Brassicales	1
g00495	9	Spermatophyta	1
g00496	6	Embryophyta	1
g00497	6	Embryophyta	0.916666666666667
g00498	3	Viridiplantae	0.928571428571429
g00499	17	Brassicales	1
g00500	9	Spermatophyta	1
g00501	9	Spermatophyta	1
g00502	9	Spermatophyta	1
g00505	9	Spermatophyta	0.666666666666667
g00506	11	Mesangiospermae	1
g00507	6	Embryophyta	0.916666666666667
g00508	10	Magnoliopsida	0.875
g00509	20	Arabidopsis	1
g00510	6	Embryophyta	0.833333333333333
g00511	3	Viridiplantae	1
g00512	6	Embryophyta	1
g00513	6	Embryophyta	1
g00514	7	Tracheophyta	0.909090909090909
g00515	14	Pentapetalae	1
g00516	6	Embryophyta	0.833333333333333
g00517	3	Viridiplantae	1
g00518	11	Mesangiospermae	1
g00520	6	Embryophyta	0.916666666666667
g00521	6	Embryophyta	0.916666666666667
g00523	18	Brassicaceae	1
g00524	22	Arabidopsis halleri subsp. gemmifera	1
g00525	11	Mesangiospermae	1
g00526	20	Arabidopsis	1
g00527	18	Brassicaceae	1
g00528	14	Pentapetalae	1
g00529	14	Pentapetalae	1
g00530	14	Pentapetalae	1
g00531	6	Embryophyta	0.833333333333333
g00532	5	Streptophytina	1
g00533	6	Embryophyta	1
g00534	6	Embryophyta	1
g00535	6	Embryophyta	0.916666666666667
g00536	18	Brassicaceae	1
g00537	6	Embryophyta	1
g00538	17	Brassicales	1
g00539	2	Eukaryota	0.933333333333333
g00540	10	Magnoliopsida	1
g00541	17	Brassicales	1
g00542	11	Mesangiospermae	1
g00543	11	Mesangiospermae	1
g00544	18	Brassicaceae	1
g00546	18	Brassicaceae	1
g00547	3	Viridiplantae	1
g00548	9	Spermatophyta	1
g00549	15	rosids	1
g00551	6	Embryophyta	0.916666666666667
g00552	8	Euphyllophyta	0.9
g00553	5	Streptophytina	0.923076923076923
g00554	8	Euphyllophyta	0.8
g00555	18	Brassicaceae	1
g00556	11	Mesangiospermae	0.857142857142857
g00557	20	Arabidopsis	1
g00558	17	Brassicales	1
g00559	18	Brassicaceae	1
g00560	1	cellular organisms	0.75
g00561	10	Magnoliopsida	1
g00563	18	Brassicaceae	1
g00564	9	Spermatophyta	1
g00565	15	rosids	1
g00567	5	Streptophytina	0.923076923076923
g00568	2	Eukaryota	1
g00569	3	Viridiplantae	1
g00570	18	Brassicaceae	1
g00571	6	Embryophyta	1
g00572	6	Embryophyta	1
g00574	6	Embryophyta	1
g00575	17	Brassicales	1
g00576	3	Viridiplantae	0.928571428571429
g00578	3	Viridiplantae	0.785714285714286
g00579	18	Brassicaceae	1
g00581	5	Streptophytina	1
g00582	6	Embryophyta	0.916666666666667
g00583	10	Magnoliopsida	1
g00584	7	Tracheophyta	1
g00585	18	Brassicaceae	1
g00586	18	Brassicaceae	1
g00587	11	Mesangiospermae	0.857142857142857
g00588	11	Mesangiospermae	0.857142857142857
g00589	9	Spermatophyta	1
g00590	18	Brassicaceae	1
g00591	18	Brassicaceae	1
g00592	18	Brassicaceae	1
g00593	6	Embryophyta	0.916666666666667
g00594	6	Embryophyta	0.916666666666667
g00595	7	Tracheophyta	1
g00596	5	Streptophytina	1
g00597	18	Brassicaceae	1
g00598	3	Viridiplantae	1
g00599	18	Brassicaceae	1
g00600	9	Spermatophyta	1
g00601	10	Magnoliopsida	1
g00602	15	rosids	1
g00603	6	Embryophyta	1
g00604	18	Brassicaceae	1
g00605	3	Viridiplantae	0.928571428571429
g00606	17	Brassicales	1
g00607	10	Magnoliopsida	0.875
g00608	14	Pentapetalae	1
g00609	9	Spermatophyta	1
g00610	5	Streptophytina	1
g00611	6	Embryophyta	1
g00612	11	Mesangiospermae	0.714285714285714
g00613	10	Magnoliopsida	1
g00615	6	Embryophyta	1
g00616	18	Brassicaceae	1
g00617	7	Tracheophyta	1
g00618	20	Arabidopsis	1
g00619	9	Spermatophyta	1
g00620	11	Mesangiospermae	0.857142857142857
g00624	18	Brassicaceae	1
g00625	3	Viridiplantae	1
g00626	3	Viridiplantae	1
g00627	6	Embryophyta	0.833333333333333
g00629	5	Streptophytina	1
g00630	8	Euphyllophyta	1
g00631	10	Magnoliopsida	0.875
g00632	10	Magnoliopsida	1
g00633	6	Embryophyta	1
g00634	5	Streptophytina	1
g00635	10	Magnoliopsida	1
g00636	11	Mesangiospermae	1
g00637	10	Magnoliopsida	0.875
g00638	6	Embryophyta	1
g00639	8	Euphyllophyta	0.6
g00640	18	Brassicaceae	1
g00641	10	Magnoliopsida	0.875
g00642	18	Brassicaceae	1
g00643	3	Viridiplantae	0.928571428571429
g00644	10	Magnoliopsida	0.75
g00646	6	Embryophyta	1
g00647	3	Viridiplantae	0.928571428571429
g00648	3	Viridiplantae	0.928571428571429
g00649	6	Embryophyta	1
g00650	10	Magnoliopsida	1
g00651	20	Arabidopsis	1
g00652	10	Magnoliopsida	1
g00655	3	Viridiplantae	1
g00657	1	cellular organisms	1
g00658	6	Embryophyta	0.916666666666667
g00659	17	Brassicales	1
g00660	18	Brassicaceae	1
g00661	6	Embryophyta	0.833333333333333
g00662	17	Brassicales	1
g00663	22	Arabidopsis halleri subsp. gemmifera	1
g00664	5	Streptophytina	1
g00667	15	rosids	1
g00668	6	Embryophyta	1
g00669	5	Streptophytina	1
g00670	6	Embryophyta	0.916666666666667
g00671	15	rosids	0.4
g00676	6	Embryophyta	0.833333333333333
g00677	17	Brassicales	1
g00678	6	Embryophyta	1
g00679	15	rosids	1
g00680	18	Brassicaceae	1
g00681	15	rosids	1
g00682	6	Embryophyta	1
g00683	18	Brassicaceae	1
g00684	2	Eukaryota	0.933333333333333
g00685	10	Magnoliopsida	1
g00686	6	Embryophyta	0.916666666666667
g00687	18	Brassicaceae	1
g00688	17	Brassicales	1
g00689	10	Magnoliopsida	1
g00690	5	Streptophytina	1
g00691	11	Mesangiospermae	1
g00692	18	Brassicaceae	1
g00693	17	Brassicales	1
g00694	6	Embryophyta	0.833333333333333
g00695	15	rosids	0.4
g00696	18	Brassicaceae	1
g00697	18	Brassicaceae	1
g00698	5	Streptophytina	1
g00700	9	Spermatophyta	0.888888888888889
g00701	6	Embryophyta	1
g00702	17	Brassicales	1
g00703	17	Brassicales	1
g00704	11	Mesangiospermae	0.857142857142857
g00705	10	Magnoliopsida	0.875
g00706	6	Embryophyta	1
g00707	6	Embryophyta	0.75
g00708	17	Brassicales	1
g00709	15	rosids	1
g00710	5	Streptophytina	1
g00711	6	Embryophyta	1
g00712	20	Arabidopsis	1
g00713	18	Brassicaceae	1
g00714	20	Arabidopsis	1
g00715	20	Arabidopsis	1
g00716	2	Eukaryota	0.933333333333333
g00717	1	cellular organisms	0.8125
g00718	6	Embryophyta	1
g00719	6	Embryophyta	0.916666666666667
g00720	18	Brassicaceae	1
g00721	11	Mesangiospermae	1
g00722	3	Viridiplantae	0.928571428571429
g00724	11	Mesangiospermae	0.857142857142857
g00725	18	Brassicaceae	1
g00726	11	Mesangiospermae	1
g00727	17	Brassicales	1
g00728	5	Streptophytina	1
g00729	6	Embryophyta	0.916666666666667
g00730	3	Viridiplantae	1
g00733	5	Streptophytina	0.846153846153846
g00734	18	Brassicaceae	1
g00735	9	Spermatophyta	1
g00736	17	Brassicales	1
g00737	17	Brassicales	1
g00738	6	Embryophyta	0.916666666666667
g00739	9	Spermatophyta	1
g00740	22	Arabidopsis halleri subsp. gemmifera	1
g00741	22	Arabidopsis halleri subsp. gemmifera	1
g00742	17	Brassicales	1
g00743	11	Mesangiospermae	1
g00744	6	Embryophyta	0.833333333333333
g00745	18	Brassicaceae	1
g00746	6	Embryophyta	0.916666666666667
g00747	17	Brassicales	1
g00748	11	Mesangiospermae	1
g00749	9	Spermatophyta	1
g00751	20	Arabidopsis	1
g00752	15	rosids	1
g00753	6	Embryophyta	1
g00754	3	Viridiplantae	1
g00755	15	rosids	1
g00756	9	Spermatophyta	0.888888888888889
g00758	3	Viridiplantae	1
g00759	6	Embryophyta	0.916666666666667
g00760	6	Embryophyta	0.916666666666667
g00761	8	Euphyllophyta	0.9
g00762	18	Brassicaceae	1
g00763	18	Brassicaceae	1
g00766	18	Brassicaceae	1
g00767	10	Magnoliopsida	1
g00768	6	Embryophyta	1
g00769	10	Magnoliopsida	0.875
g00770	17	Brassicales	1
g00771	17	Brassicales	1
g00772	18	Brassicaceae	1
g00773	10	Magnoliopsida	1
g00774	7	Tracheophyta	0.909090909090909
g00775	3	Viridiplantae	0.928571428571429
g00776	2	Eukaryota	0.733333333333333
g00779	10	Magnoliopsida	1
g00781	10	Magnoliopsida	1
g00783	14	Pentapetalae	1
g00784	18	Brassicaceae	1
g00786	17	Brassicales	1
g00788	20	Arabidopsis	1
g00789	6	Embryophyta	0.833333333333333
g00790	10	Magnoliopsida	1
g00791	17	Brassicales	1
g00792	18	Brassicaceae	1
g00793	9	Spermatophyta	0.444444444444444
g00794	6	Embryophyta	0.833333333333333
g00795	17	Brassicales	1
g00796	9	Spermatophyta	0.888888888888889
g00797	11	Mesangiospermae	0.857142857142857
g00798	10	Magnoliopsida	1
g00799	9	Spermatophyta	0.888888888888889
g00802	17	Brassicales	1
g00803	17	Brassicales	1
g00804	2	Eukaryota	1
g00805	6	Embryophyta	1
g00806	5	Streptophytina	0.923076923076923
g00808	5	Streptophytina	1
g00809	2	Eukaryota	0.933333333333333
g00810	5	Streptophytina	1
g00811	18	Brassicaceae	1
g00812	15	rosids	0.8
g00815	18	Brassicaceae	1
g00816	18	Brassicaceae	1
g00820	20	Arabidopsis	1
g00821	18	Brassicaceae	1
g00824	18	Brassicaceae	1
g00825	20	Arabidopsis	1
g00826	18	Brassicaceae	1
g00827	6	Embryophyta	1
g00828	6	Embryophyta	1
g00829	3	Viridiplantae	1
g00830	17	Brassicales	1
g00832	10	Magnoliopsida	0.875
g00833	20	Arabidopsis	1
g00834	20	Arabidopsis	1
g00835	22	Arabidopsis halleri subsp. gemmifera	1
g00836	22	Arabidopsis halleri subsp. gemmifera	1
g00838	18	Brassicaceae	1
g00839	9	Spermatophyta	1
g00840	3	Viridiplantae	0.785714285714286
g00842	6	Embryophyta	0.833333333333333
g00847	18	Brassicaceae	1
g00848	17	Brassicales	1
g00849	3	Viridiplantae	1
g00850	6	Embryophyta	1
g00851	9	Spermatophyta	1
g00853	17	Brassicales	1
g00854	11	Mesangiospermae	0.857142857142857
g00855	18	Brassicaceae	1
g00856	9	Spermatophyta	1
g00857	10	Magnoliopsida	1
g00858	11	Mesangiospermae	1
g00859	3	Viridiplantae	0.928571428571429
g00860	6	Embryophyta	1
g00861	18	Brassicaceae	1
g00862	17	Brassicales	1
g00863	11	Mesangiospermae	0.857142857142857
g00864	17	Brassicales	1
g00865	2	Eukaryota	0.933333333333333
g00866	6	Embryophyta	0.916666666666667
g00867	17	Brassicales	1
g00868	20	Arabidopsis	1
g00869	17	Brassicales	1
g00870	11	Mesangiospermae	1
g00871	10	Magnoliopsida	0.875
g00872	17	Brassicales	1
g00873	6	Embryophyta	0.833333333333333
g00874	2	Eukaryota	1
g00875	6	Embryophyta	1
g00876	6	Embryophyta	0.916666666666667
g00877	6	Embryophyta	0.666666666666667
g00878	6	Embryophyta	1
g00879	8	Euphyllophyta	0.9
g00880	5	Streptophytina	1
g00881	10	Magnoliopsida	0.875
g00882	18	Brassicaceae	1
g00883	8	Euphyllophyta	0.9
g00884	15	rosids	1
g00885	15	rosids	0.8
g00886	6	Embryophyta	1
g00887	10	Magnoliopsida	1
g00888	6	Embryophyta	1
g00889	9	Spermatophyta	1
g00890	6	Embryophyta	1
g00892	6	Embryophyta	1
g00893	18	Brassicaceae	1
g00894	17	Brassicales	1
g00895	17	Brassicales	1
g00897	10	Magnoliopsida	1
g00899	3	Viridiplantae	0.928571428571429
g00900	6	Embryophyta	0.833333333333333
g00901	17	Brassicales	1
g00902	17	Brassicales	1
g00903	3	Viridiplantae	1
g00904	3	Viridiplantae	1
g00905	6	Embryophyta	0.75
g00906	10	Magnoliopsida	1
g00907	18	Brassicaceae	1
g00908	11	Mesangiospermae	0.857142857142857
g00909	11	Mesangiospermae	1
g00910	20	Arabidopsis	1
g00912	9	Spermatophyta	0.888888888888889
g00913	10	Magnoliopsida	1
g00914	10	Magnoliopsida	0.5
g00915	9	Spermatophyta	1
g00916	17	Brassicales	1
g00917	10	Magnoliopsida	0.875
g00919	6	Embryophyta	0.833333333333333
g00920	10	Magnoliopsida	0.875
g00921	2	Eukaryota	1
g00922	9	Spermatophyta	1
g00923	10	Magnoliopsida	1
g00924	18	Brassicaceae	1
g00925	20	Arabidopsis	1
g00926	20	Arabidopsis	1
g00928	20	Arabidopsis	1
g00929	6	Embryophyta	0.833333333333333
g00930	18	Brassicaceae	1
g00931	11	Mesangiospermae	1
